Designator,Footprint,Quantity,Value,LCSC Part #
C12,1210,1,10uF,
C13,0805,1,100nF,
C14,0805,1,1uF,
"C20, C21",0805,2,22uF,
"C24, C25, C26",0805,3,4.7uF,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J4, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,3,Jumper_2_Open,
L1,2010,1,4.7μH,
"R1, R2",0805,2,100k,
R10,0603,1,5.1k,
R3,0603,1,10,
R4,0805,1,0,
R5,0603,1,10k,
R6,0603,1,14k,
R7,0603,1,18k,
R8,0805,1,10.5K,
R9,0603,1,49.9k,
U1,TYPE-C-SMD_UC.01.51-11-0017,1,C9900066641,
U2,PRPAK-8_L3.0-W3.0-P0.65-BL-EP,1,AONR21307,
U3,TDFN-10_L3.0-W3.0-P0.50-TL-EP,1,HUSB238,
U6,TSOT-23-6,1,AP63205WU,
